DateTime,sw_factor,lw_factor,coef_mix_hyp,ch,sed_temp_amplitude,sed_temp_amplitude.1,sed_temp_mean,sed_temp_mean.1,sed_temp_peak_doy,sed_temp_peak_doy.1,RMSE
2021-10-29 14:09:10,0.970638103774203,0.779517446253476,0.373164846732016,0.00155771933749574,5.74832905554066,8.14819160567162,8.28026308633106,17.1905034880443,255.724338093848,280,2.86994332266162
2021-10-29 14:08:52,0.75,0.855913998442719,0.31360003538394,0.000584847955828685,2,7.45744308823817,12.3114880806622,19.7509710896657,263.462102013036,280,2.13964662636116
2021-10-29 14:08:35,0.996698900841221,0.794018041997579,0.396131201057352,0.00155859377191153,2,7.79242214825966,6.48125728668025,10.5845552821665,277.039566803795,280,5.49324269473276
2021-10-29 14:08:17,0.845186805495038,0.973303279597552,0.213979439984168,0.00119046825284055,2,12,8.32575091594194,16.3530672341602,264.494028085929,280,3.72075307405876
2021-10-29 14:08:00,0.988807517506283,0.841059692993679,0.207196071172807,0.00104910508646354,2,10.1688426888041,16.2851304077619,20,267.878724784005,280,3.38304868026774
2021-10-29 14:07:41,1.09256417132118,0.988083894228137,0.2,5e-04,2,4.04610240615195,7.80485534954613,15.3908316696667,258.612811962549,280,3.68895896228752
2021-10-29 14:07:23,1.03916166069874,0.812317449586688,0.577311477026931,0.00109301764900711,3.42790253596059,9.89929673378767,3,20,273.610868886423,280,6.01712350067804
2021-10-29 14:07:05,0.868095175009269,0.767570765619692,0.402887839781268,0.00172351420458045,8.23896697326508,6.14882275640443,13.5193190116157,14.4514914418193,266.668931325591,280,3.33577206971493
2021-10-29 14:06:45,0.868703134357702,0.90808462544133,0.412251869967959,0.00186174867758879,3.96637901528732,6.2341890744211,11.3342711380067,20,251.381689128464,280,1.97137631432781
2021-10-29 14:06:27,0.900592707386876,1.0123505207603,0.491645136359478,0.00199683075192275,3.80506595219204,12,12.192680331287,20,261.110778730188,277.066944259571,2.57253729695594
2021-10-29 14:06:09,0.75,0.924518836314827,0.505693120190675,0.000955698364691285,3.25027779203024,9.66109412917879,3,20,254.838845716084,280,5.68034339602733
2021-10-29 14:05:51,0.830391828817021,0.811166137068392,0.479841373600016,0.00067431850809417,2,3.58168242289379,10.5430297510322,20,265.792665565451,280,2.16860070965514
2021-10-29 14:05:32,0.75,0.952629916017767,0.313011428411552,0.000750249719643102,4.63856395953679,12,15.7798318998286,20,250,272.638835561953,3.94870929217487
2021-10-29 14:05:13,0.964005656806337,1.05004168954307,0.501134437416024,0.000559264239002317,2.91447188923652,12,4.48115758690586,17.4148451396412,250,269.099303367289,5.15376081573454
2021-10-29 14:04:55,0.852336503273433,1.10035252951785,0.44407303875976,0.00115580199380435,2,6.4548213879483,18.6440827959704,12.396745669939,272.568166527685,278.472758054198,3.37784951791273
2021-10-29 14:04:37,0.927372520421223,0.881239375602521,0.2,0.00122037428707788,2,12,10.95173499946,20,250,280,2.42159528377492
2021-10-29 14:04:19,0.790086469240994,0.915221003508891,0.563860501021683,0.00126855139160076,3.62067496312826,7.87082721383732,3,14.7784243459623,265.438187209773,280,6.09790757569304
2021-10-29 14:04:01,1.25,0.859602728813001,0.512360650321871,0.000969269545021803,6.05014778669314,10.8173528612524,5.1386820769171,18.7297388670843,274.945976906522,280,5.14907007537741
2021-10-29 14:03:43,1.25,0.850183781152069,0.2,0.000939824696227163,4.61697344291314,9.79377188347679,10.8689378230874,10.9823374333717,265.153491279599,275.293460000308,4.05516888188372
2021-10-29 14:03:23,1.05030010933751,0.873450379843182,0.41820873641221,0.000922819365020507,2,8.3081421594222,18.8924166693418,20,250,280,4.75322464612984
2021-10-29 14:03:05,1.06306615195941,1.2295909715656,0.271630356279686,0.00103635463555311,3.49112048474249,8.34894523085103,20,3.02439696316836,278.650610811638,255.557707467721,4.77298855596341
2021-10-29 14:02:45,0.990635210823941,1.25,0.3826501220097,0.002,2,7.31466180231029,4.77448982499435,20,251.788464108993,280,5.29681305270919
2021-10-29 14:02:27,0.818315878783617,0.931772449053649,0.333177701463048,0.000705081945767953,2,7.34393550910541,8.38365285779235,16.35090348736,250,275.831072327986,3.02172864244222
2021-10-29 14:02:10,0.98180045219276,0.830550931098866,0.2,5e-04,2,12,8.37904875972086,15.7800874105226,250,278.167548841734,3.59225108284669
2021-10-29 14:01:53,1.02014076644104,0.952860542732991,0.664993143526363,0.0017726340462344,7.97370791137297,9.51110021763134,9.51856573954883,20,259.468425454023,280,3.00303540109265
2021-10-29 14:01:35,0.939543708296981,0.808830596498098,0.2,5e-04,4.6620408976825,9.29117913036488,7.4920501128032,11.3429936385406,256.90011644193,264.237584790245,4.14270668864318
2021-10-29 14:01:17,1.25,0.940116177209008,0.385713119992799,0.002,2.12278874071608,8.69781548720931,3.55234648272262,15.0196692204106,262.676617501694,280,6.12081958256685
2021-10-29 14:01:00,0.975713168469631,0.796718947660826,0.450332169457377,0.00126161843540642,5.81305606127203,11.0128556132225,20,11.6140434178019,269.548339837786,280,3.76492493642833
2021-10-29 14:00:40,1.22360678798887,1.10371233174513,0.446741748062562,0.00124840876631234,2.51533393957445,2.96344268682788,3,12.9331954388215,258.702000932258,280,6.62628859689927
2021-10-29 14:00:22,0.8109351224171,1.20645950880612,0.352766004478881,0.00130398072919125,2,7.83036923222127,18.0431315134372,13.324592211994,268.846880358227,274.282837822123,3.66155021583866
2021-10-29 14:00:04,0.884681843816605,1.21997845752408,0.8,0.0014865097401143,9.19506785642592,2.37468840580229,12.9285111321587,3,269.785385191825,250,5.97607685192402
