DateTime,sw_factor,lw_factor,subm_elev,subm_elev.1,sed_temp_amplitude,sed_temp_amplitude.1,sed_temp_mean,sed_temp_mean.1,sed_temp_peak_doy,sed_temp_peak_doy.1,RMSE
2021-11-06 10:49:38,0.907936198282106,0.889492523971147,7.15729003107596,1.02389435208722,4.80049030410427,7.59141704844023,12.302995806413,18.5775873947677,252.777792364856,250.16478624431,2.19137118824992
2021-11-06 10:49:28,0.907936198282106,0.889492523971147,7.15729003107596,1.02389435208722,4.80049030410427,7.59141704844023,12.302995806413,18.5775873947677,252.777792364856,250.16478624431,2.19137118824992
2021-11-06 10:49:19,0.905219222832264,0.893258363500439,7.16017335639722,1.02144097872012,4.83847526715969,7.59777709817882,12.1859358252913,18.5294059180496,252.3245172626,250.123884413413,2.21743433106247
2021-11-06 10:49:09,0.900877720264126,0.897107745867932,7.04798135241779,1.02206112257885,4.77206947760557,7.67884318163285,12.1623587591613,18.5361110088037,252.452887449621,250,2.21173968103838
2021-11-06 10:48:59,0.907936198282106,0.889492523971147,7.15729003107596,1.02389435208722,4.80049030410427,7.59141704844023,12.302995806413,18.5775873947677,252.777792364856,250.16478624431,2.19137118824992
2021-11-06 10:48:48,0.908982539518636,0.889517966028337,7.12041067852493,1.0241677661084,4.77799825848754,7.54053531229024,12.2417298426232,18.6027562782687,252.732498945474,250.164293118091,2.19510523519917
2021-11-06 10:48:38,0.908156941851946,0.889719570168573,7.08800610100433,1.02180588158135,4.73254592899141,7.48606560469813,12.1871809168122,18.5697989880686,252.423593156303,250,2.20183158920679
2021-11-06 10:48:28,0.90245243132009,0.892290194256017,7.1385548480004,1.01728644179423,4.75753579344318,7.66431169477967,12.1524477920498,18.6676342811094,252.719262346182,250.334376855679,2.20137023508278
2021-11-06 10:48:19,0.906510722618803,0.891249648508607,7.17197071165753,1.02580477126252,4.77186790340804,7.52507462269438,12.2787082625751,18.5119269234229,253.019528151714,250.097559302606,2.20047959692447
2021-11-06 10:48:09,0.898740166971823,0.890583992619444,7.10608849124414,1.02324052667944,4.71827176224649,7.62609423018746,12.263802223483,18.5549749106418,252.858875045726,250,2.19442708379103
2021-11-06 10:47:58,0.905817509737406,0.889752081736124,7.21469926154526,1.02396504542316,4.73483687139835,7.53765481750125,12.1711071406174,18.5458172312732,252.591068362986,250,2.1960683083401
2021-11-06 10:47:48,0.908268707795667,0.892102253559591,7.10475364191477,1.01760115190895,4.70134994986309,7.6106017373716,12.2544538960063,18.6532352929985,252.585068529112,250.262239390124,2.19491866742674
2021-11-06 10:47:39,0.901278929587342,0.892677153028736,7.13900669481764,1.02194283131483,4.82198450288721,7.56752274971593,12.2537448219932,18.3993951952793,252.144620507129,250.192556103042,2.20027778941011
2021-11-06 10:47:29,0.900877295128551,0.889781006046832,7.13353980365904,1.02097238266805,4.77879586003674,7.64261519974504,12.1859873837445,18.5299920736664,252.112278773448,250.171963431965,2.20253176726803
2021-11-06 10:47:19,0.908515610918219,0.891517544490181,7.1187761009698,1.02304619481921,4.77366508740931,7.52184778658371,12.2583046406085,18.5288202811932,252.822946277632,250.155611363996,2.19340960442724
2021-11-06 10:47:09,0.901962460794107,0.893901748745379,7.1039190812596,1.02133043557359,4.74118529744358,7.65317753893537,12.1915212351222,18.5782947294327,252.57402156505,250,2.19943458279726
2021-11-06 10:46:58,0.903956046187429,0.886733507796938,7.1878975717257,1.02430098340191,4.71903830759826,7.54765212304264,12.1761753121423,18.4881918157357,252.516365924754,250.295242268696,2.21399043497727
2021-11-06 10:46:49,0.901334574924884,0.889001790431311,7.15281996548186,1.02226048269244,4.7791222612946,7.56766271487568,12.1458969930757,18.4420413594302,252.073383177381,250.327780565709,2.20634342718598
2021-11-06 10:46:39,0.899778778747794,0.889678522879085,7.13669135220491,1.02320510018807,4.78784303970971,7.60312677336959,12.1851837908918,18.5627266221243,252.950150325645,250.051237406504,2.20333307517578
2021-11-06 10:46:29,0.904805544706497,0.892437977245166,7.11406867121334,1.02581918156152,4.81064351251485,7.49568049524784,12.2277544433797,18.5358558257211,252.903534079606,250.157686453281,2.20486121192668
2021-11-06 10:46:19,0.900392294004211,0.891411924229933,7.114539460607,1.0227111841558,4.72666288038295,7.57509928791242,12.2659606933858,18.5776008344842,252.855519513517,250.377841353572,2.21413418479404
2021-11-06 10:46:08,0.896566934941594,0.892990252208833,7.18362291665229,1.0217623992179,4.88324441136508,7.65266624012013,12.2435165456069,18.4072567165667,252.299539098989,250.434731747155,2.21154618697372
2021-11-06 10:45:58,0.902760855102175,0.888345603841587,7.10698483737831,1.02066279923075,4.79190305277811,7.64103474381401,12.18692449382,18.4939425197519,252.522335898123,250.298756680433,2.19385178874382
2021-11-06 10:45:48,0.905118854320419,0.891653478005392,7.14149435418464,1.02362996279335,4.71845765346929,7.6468494282036,12.1664068469876,18.3686146536218,252.806743880302,250.012723208281,2.20541519269805
2021-11-06 10:45:38,0.901788055736585,0.892810163197348,7.17697538574285,1.0244519226368,4.7994542607408,7.62577506349254,12.2724777820549,18.325297085303,252.522836445935,250.107628893609,2.20128820571837
2021-11-06 10:45:28,0.901358272976148,0.891077995502106,7.20553824590632,1.02297960443233,4.7873376218003,7.5720836600735,12.1440915563529,18.4674034735784,252.440625577031,250.295348895157,2.19685898096937
2021-11-06 10:45:18,0.905074164345292,0.89447229078893,7.21573155321226,1.02211437201099,4.76249168335229,7.62827374892788,12.1901952532162,18.4477780599949,252.359888841903,250,2.20485532965701
